user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
a100000069,01/03/2018,House Ads,control,TRUE,English,English,24-30 years,01/03/2018,,House Ads,TRUE
a100000070,01/03/2018,House Ads,control,TRUE,Spanish,Spanish,30-36 years,01/03/2018,,House Ads,TRUE
a100000071,01/03/2018,House Ads,control,TRUE,English,English,36-45 years,01/03/2018,,House Ads,TRUE
a100000072,01/03/2018,House Ads,control,TRUE,German,German,45-55 years,01/03/2018,,House Ads,TRUE
a100000073,01/03/2018,House Ads,control,TRUE,English,English,55+ years,01/03/2018,,House Ads,TRUE
a100000075,01/03/2018,House Ads,control,TRUE,English,English,0-18 years,01/03/2018,,House Ads,TRUE
a100000076,01/03/2018,House Ads,control,TRUE,English,English,19-24 years,01/03/2018,,House Ads,TRUE
a100000077,01/03/2018,House Ads,control,TRUE,English,English,24-30 years,01/03/2018,,House Ads,TRUE
a100000078,01/03/2018,House Ads,control,TRUE,English,English,30-36 years,01/03/2018,,House Ads,TRUE
a100000079,01/03/2018,House Ads,control,TRUE,English,English,36-45 years,01/03/2018,,House Ads,TRUE
a100000080,01/04/2018,House Ads,control,TRUE,English,English,45-55 years,01/04/2018,,House Ads,TRUE
a100000081,01/04/2018,House Ads,control,TRUE,English,English,55+ years,01/04/2018,,House Ads,TRUE
a100000082,01/04/2018,House Ads,control,TRUE,English,English,0-18 years,01/04/2018,,House Ads,TRUE
a100000083,01/04/2018,House Ads,control,TRUE,English,English,19-24 years,01/04/2018,,House Ads,TRUE
a100000085,01/04/2018,House Ads,control,TRUE,Spanish,Spanish,24-30 years,01/04/2018,,House Ads,TRUE
a100000086,01/04/2018,House Ads,control,TRUE,English,English,30-36 years,01/04/2018,,House Ads,TRUE
a100000087,01/04/2018,House Ads,control,TRUE,English,English,36-45 years,01/04/2018,,House Ads,TRUE
a100000088,01/04/2018,House Ads,control,TRUE,Spanish,Spanish,45-55 years,01/04/2018,01/11/2018,House Ads,FALSE
a100000089,01/04/2018,House Ads,control,TRUE,English,English,55+ years,01/04/2018,02/09/2018,House Ads,FALSE
a100000090,01/04/2018,House Ads,control,TRUE,English,English,0-18 years,01/04/2018,3/25/18,House Ads,FALSE
a100000091,01/04/2018,House Ads,control,TRUE,English,English,19-24 years,01/04/2018,01/06/2018,House Ads,FALSE
a100000092,01/04/2018,House Ads,control,TRUE,English,English,24-30 years,01/04/2018,03/12/2018,House Ads,FALSE
a100000093,01/04/2018,House Ads,control,TRUE,English,English,30-36 years,01/04/2018,03/10/2018,House Ads,FALSE
a100000094,01/04/2018,House Ads,control,TRUE,English,English,36-45 years,01/04/2018,2/14/18,House Ads,FALSE
a100000095,01/04/2018,House Ads,control,TRUE,Spanish,Spanish,45-55 years,01/04/2018,1/23/18,House Ads,FALSE
a100000096,01/05/2018,House Ads,control,TRUE,English,English,55+ years,01/05/2018,02/11/2018,House Ads,FALSE
a100000097,01/05/2018,House Ads,control,TRUE,English,English,0-18 years,01/05/2018,,House Ads,TRUE
a100000098,01/05/2018,House Ads,control,TRUE,English,English,19-24 years,01/05/2018,,House Ads,TRUE
a100000099,01/05/2018,House Ads,control,TRUE,English,English,24-30 years,01/05/2018,,House Ads,TRUE
a100000099,01/04/2018,House Ads,control,FALSE,English,English,24-30 years,01/05/2018,,House Ads,TRUE
a100000100,01/05/2018,House Ads,control,TRUE,English,English,30-36 years,01/05/2018,,House Ads,TRUE
a100000100,01/04/2018,House Ads,control,FALSE,English,English,30-36 years,01/05/2018,,House Ads,TRUE
a100000101,01/05/2018,House Ads,control,TRUE,English,English,36-45 years,01/05/2018,4/13/18,House Ads,FALSE
a100000101,01/04/2018,House Ads,control,FALSE,English,English,36-45 years,01/05/2018,4/13/18,House Ads,FALSE
a100000102,01/05/2018,House Ads,control,TRUE,English,English,45-55 years,01/05/2018,04/12/2018,House Ads,FALSE
a100000102,01/04/2018,House Ads,control,FALSE,English,English,45-55 years,01/05/2018,04/12/2018,House Ads,FALSE
a100000103,01/05/2018,House Ads,control,TRUE,Spanish,Spanish,55+ years,01/05/2018,04/03/2018,House Ads,FALSE
a100000103,01/04/2018,House Ads,control,FALSE,Spanish,Spanish,55+ years,01/05/2018,04/03/2018,House Ads,FALSE
a100000104,01/05/2018,House Ads,control,TRUE,English,English,0-18 years,01/05/2018,2/17/18,House Ads,FALSE
a100000104,01/04/2018,House Ads,control,FALSE,English,English,0-18 years,01/05/2018,2/17/18,House Ads,FALSE
a100000105,01/05/2018,House Ads,control,TRUE,English,English,19-24 years,01/05/2018,4/14/18,House Ads,FALSE
a100000105,01/04/2018,House Ads,control,FALSE,English,English,19-24 years,01/05/2018,4/14/18,House Ads,FALSE
a100000107,01/05/2018,House Ads,control,TRUE,English,English,24-30 years,01/05/2018,01/11/2018,House Ads,FALSE
a100000107,01/04/2018,House Ads,control,FALSE,English,English,24-30 years,01/05/2018,01/11/2018,House Ads,FALSE
a100000108,01/05/2018,House Ads,control,TRUE,English,English,30-36 years,01/05/2018,02/03/2018,House Ads,FALSE
a100000108,01/04/2018,House Ads,control,FALSE,English,English,30-36 years,01/05/2018,02/03/2018,House Ads,FALSE
a100000109,01/05/2018,House Ads,control,TRUE,Spanish,Spanish,36-45 years,01/05/2018,01/08/2018,House Ads,FALSE
a100000109,01/04/2018,House Ads,control,FALSE,Spanish,Spanish,36-45 years,01/05/2018,01/08/2018,House Ads,FALSE
a100000110,01/05/2018,House Ads,control,TRUE,Spanish,Spanish,45-55 years,01/05/2018,1/27/18,House Ads,FALSE
a100000110,01/04/2018,House Ads,control,FALSE,Spanish,Spanish,45-55 years,01/05/2018,1/27/18,House Ads,FALSE
a100000111,01/05/2018,House Ads,control,TRUE,English,English,55+ years,01/05/2018,,House Ads,TRUE
a100000111,01/04/2018,House Ads,control,FALSE,English,English,55+ years,01/05/2018,,House Ads,TRUE
a100000112,01/05/2018,House Ads,control,TRUE,English,English,0-18 years,01/05/2018,,House Ads,TRUE
a100000112,01/04/2018,House Ads,control,FALSE,English,English,0-18 years,01/05/2018,,House Ads,TRUE
a100000113,01/05/2018,House Ads,control,TRUE,English,English,19-24 years,01/05/2018,,House Ads,TRUE
a100000114,01/05/2018,House Ads,control,TRUE,English,English,24-30 years,01/05/2018,,House Ads,TRUE
a100000127,01/05/2018,House Ads,control,TRUE,English,English,30-36 years,01/05/2018,,House Ads,TRUE
a100000128,01/05/2018,House Ads,control,TRUE,English,English,36-45 years,01/05/2018,,House Ads,TRUE
a100000129,01/06/2018,House Ads,control,TRUE,English,English,45-55 years,01/06/2018,,House Ads,TRUE
a100000130,01/06/2018,House Ads,control,TRUE,Spanish,Spanish,55+ years,01/06/2018,,House Ads,TRUE
a100000131,01/06/2018,House Ads,control,TRUE,English,English,0-18 years,01/06/2018,,House Ads,TRUE
a100000132,01/06/2018,House Ads,control,TRUE,English,English,19-24 years,01/06/2018,,House Ads,TRUE
a100000133,01/06/2018,House Ads,control,TRUE,English,English,24-30 years,01/06/2018,,House Ads,TRUE
a100000134,01/06/2018,House Ads,control,TRUE,English,English,30-36 years,01/06/2018,,House Ads,TRUE
a100000150,01/06/2018,House Ads,control,TRUE,English,English,36-45 years,01/06/2018,,House Ads,TRUE
a100000151,01/06/2018,House Ads,control,TRUE,Arabic,Arabic,45-55 years,01/06/2018,,House Ads,TRUE
a100000152,01/06/2018,House Ads,control,TRUE,Spanish,Spanish,55+ years,01/06/2018,,House Ads,TRUE
a100000153,01/06/2018,House Ads,control,TRUE,Arabic,Arabic,0-18 years,01/06/2018,,House Ads,TRUE
a100000154,01/06/2018,House Ads,control,TRUE,English,English,19-24 years,01/06/2018,,House Ads,TRUE
a100000155,01/06/2018,House Ads,control,TRUE,English,English,24-30 years,01/06/2018,,House Ads,TRUE
a100000156,01/06/2018,House Ads,control,TRUE,English,English,30-36 years,01/06/2018,,House Ads,TRUE
a100000157,01/06/2018,House Ads,control,TRUE,English,English,36-45 years,01/06/2018,,House Ads,TRUE
a100000162,01/06/2018,House Ads,control,TRUE,English,English,45-55 years,01/06/2018,,House Ads,TRUE
a100000163,01/06/2018,House Ads,control,TRUE,Arabic,Arabic,55+ years,01/06/2018,,House Ads,TRUE
a100000164,01/06/2018,House Ads,control,TRUE,English,English,0-18 years,01/06/2018,03/10/2018,House Ads,FALSE
a100000165,01/07/2018,House Ads,control,TRUE,Arabic,Arabic,19-24 years,01/07/2018,03/11/2018,House Ads,FALSE
a100000166,01/07/2018,House Ads,control,TRUE,English,English,24-30 years,01/07/2018,3/25/18,House Ads,FALSE
a100000167,01/07/2018,House Ads,control,TRUE,English,English,30-36 years,01/07/2018,2/21/18,House Ads,FALSE
a100000168,01/07/2018,House Ads,control,TRUE,English,English,36-45 years,01/07/2018,2/25/18,House Ads,FALSE
a100000169,01/07/2018,House Ads,control,TRUE,English,English,45-55 years,01/07/2018,03/05/2018,House Ads,FALSE
a100000170,01/07/2018,House Ads,control,TRUE,English,English,55+ years,01/07/2018,4/16/18,House Ads,FALSE
a100000171,01/07/2018,House Ads,control,TRUE,English,English,0-18 years,01/07/2018,02/06/2018,House Ads,FALSE
a100000172,01/07/2018,House Ads,control,TRUE,German,German,19-24 years,01/07/2018,02/05/2018,House Ads,FALSE
a100000250,01/07/2018,House Ads,control,TRUE,English,English,24-30 years,01/07/2018,,House Ads,TRUE
a100000251,01/07/2018,House Ads,control,TRUE,English,English,30-36 years,01/07/2018,,House Ads,TRUE
a100000252,01/07/2018,House Ads,control,TRUE,German,German,36-45 years,01/07/2018,,House Ads,TRUE
a100000253,01/07/2018,House Ads,control,TRUE,Arabic,Arabic,45-55 years,01/07/2018,,House Ads,TRUE
a100000254,01/07/2018,House Ads,control,TRUE,English,English,55+ years,01/07/2018,,House Ads,TRUE
a100000255,01/07/2018,House Ads,control,TRUE,English,English,0-18 years,01/07/2018,,House Ads,TRUE
a100000256,01/07/2018,House Ads,control,TRUE,English,English,19-24 years,01/07/2018,,House Ads,TRUE
a100000257,01/07/2018,House Ads,control,TRUE,English,English,24-30 years,01/07/2018,,House Ads,TRUE
a100000258,01/07/2018,House Ads,control,TRUE,English,English,30-36 years,01/07/2018,,House Ads,TRUE
a100000259,01/07/2018,House Ads,control,TRUE,English,English,36-45 years,01/07/2018,,House Ads,TRUE
a100000260,01/07/2018,House Ads,control,TRUE,Spanish,Spanish,45-55 years,01/07/2018,1/14/18,House Ads,FALSE
a100000261,01/08/2018,House Ads,control,TRUE,English,English,55+ years,01/08/2018,3/13/18,House Ads,FALSE
a100000262,01/08/2018,House Ads,control,TRUE,English,English,0-18 years,01/08/2018,2/22/18,House Ads,FALSE
a100000263,01/08/2018,House Ads,control,TRUE,English,English,19-24 years,01/08/2018,01/11/2018,House Ads,FALSE
a100000264,01/08/2018,House Ads,control,TRUE,German,German,24-30 years,01/08/2018,3/19/18,House Ads,FALSE
a100000265,01/08/2018,House Ads,control,TRUE,German,German,30-36 years,01/08/2018,02/10/2018,House Ads,FALSE
a100000266,01/08/2018,House Ads,control,TRUE,English,English,36-45 years,01/08/2018,3/30/18,House Ads,FALSE
a100000267,01/08/2018,House Ads,control,TRUE,English,English,45-55 years,01/08/2018,1/15/18,House Ads,FALSE
a100000268,01/08/2018,House Ads,control,TRUE,English,English,55+ years,01/08/2018,2/21/18,House Ads,FALSE
a100000269,01/08/2018,House Ads,control,TRUE,English,English,0-18 years,01/08/2018,,House Ads,TRUE
a100000270,01/08/2018,House Ads,control,TRUE,English,English,19-24 years,01/08/2018,,House Ads,TRUE
a100000271,01/08/2018,House Ads,control,TRUE,English,English,24-30 years,01/08/2018,,House Ads,TRUE
a100000272,01/08/2018,House Ads,control,TRUE,English,English,30-36 years,01/08/2018,,House Ads,TRUE
a100000273,01/08/2018,House Ads,control,TRUE,German,German,36-45 years,01/08/2018,,House Ads,TRUE
a100000274,01/08/2018,House Ads,control,TRUE,English,English,45-55 years,01/08/2018,,House Ads,TRUE
a100000275,01/08/2018,House Ads,control,TRUE,Spanish,Spanish,55+ years,01/08/2018,,House Ads,TRUE
a100000276,01/08/2018,House Ads,control,TRUE,Spanish,Spanish,0-18 years,01/08/2018,,House Ads,TRUE
a100000277,01/09/2018,House Ads,control,TRUE,Spanish,Spanish,19-24 years,01/09/2018,,House Ads,TRUE
a100000278,01/09/2018,House Ads,control,TRUE,English,English,24-30 years,01/09/2018,,House Ads,TRUE
a100000279,01/09/2018,House Ads,control,TRUE,English,English,30-36 years,01/09/2018,,House Ads,TRUE
a100000280,01/09/2018,House Ads,control,TRUE,English,English,36-45 years,01/09/2018,,House Ads,TRUE
a100000281,01/09/2018,House Ads,control,TRUE,English,English,45-55 years,01/09/2018,,House Ads,TRUE
a100000282,01/09/2018,House Ads,control,TRUE,English,English,55+ years,01/09/2018,,House Ads,TRUE
a100000283,01/09/2018,House Ads,control,TRUE,English,English,0-18 years,01/09/2018,,House Ads,TRUE
a100000284,01/09/2018,House Ads,control,TRUE,English,English,19-24 years,01/09/2018,,House Ads,TRUE
a100000285,01/09/2018,House Ads,control,TRUE,English,English,24-30 years,01/09/2018,,House Ads,TRUE
a100000286,01/09/2018,House Ads,control,TRUE,English,English,30-36 years,01/09/2018,,House Ads,TRUE
a100000287,01/09/2018,House Ads,control,TRUE,English,English,36-45 years,01/09/2018,,House Ads,TRUE
a100000288,01/09/2018,House Ads,control,TRUE,English,English,45-55 years,01/09/2018,,House Ads,TRUE
a100000289,01/09/2018,House Ads,control,TRUE,English,English,55+ years,01/09/2018,,House Ads,TRUE
a100000290,01/09/2018,House Ads,control,TRUE,English,English,0-18 years,01/09/2018,,House Ads,TRUE
a100000291,01/09/2018,House Ads,control,TRUE,English,English,19-24 years,01/09/2018,,House Ads,TRUE
a100000292,01/09/2018,House Ads,control,TRUE,English,English,24-30 years,01/09/2018,,House Ads,TRUE
a100000293,01/09/2018,House Ads,control,TRUE,English,English,30-36 years,01/09/2018,,House Ads,TRUE
a100000294,01/09/2018,House Ads,control,TRUE,English,English,36-45 years,01/09/2018,1/14/18,House Ads,FALSE
a100000295,01/09/2018,House Ads,control,TRUE,English,English,45-55 years,01/09/2018,02/04/2018,House Ads,FALSE
a100000296,01/09/2018,House Ads,control,TRUE,English,English,55+ years,01/09/2018,02/04/2018,House Ads,FALSE
a100000297,01/10/2018,House Ads,control,TRUE,German,German,0-18 years,01/10/2018,02/09/2018,House Ads,FALSE
a100000298,01/10/2018,House Ads,control,TRUE,German,German,19-24 years,01/10/2018,1/21/18,House Ads,FALSE
a100000299,01/10/2018,House Ads,control,TRUE,English,English,24-30 years,01/10/2018,03/07/2018,House Ads,FALSE
a100000300,01/10/2018,House Ads,control,TRUE,English,English,30-36 years,01/10/2018,04/10/2018,House Ads,FALSE
a100000301,01/10/2018,House Ads,control,TRUE,Spanish,Spanish,36-45 years,01/10/2018,4/16/18,House Ads,FALSE
a100000302,01/10/2018,House Ads,control,TRUE,English,English,45-55 years,01/10/2018,3/26/18,House Ads,FALSE
a100000303,01/10/2018,House Ads,control,TRUE,English,English,55+ years,01/10/2018,,House Ads,TRUE
a100000304,01/10/2018,House Ads,control,TRUE,English,English,0-18 years,01/10/2018,,House Ads,TRUE
a100000305,01/10/2018,House Ads,control,TRUE,English,English,19-24 years,01/10/2018,,House Ads,TRUE
a100000306,01/10/2018,House Ads,control,TRUE,English,English,24-30 years,01/10/2018,,House Ads,TRUE
a100000307,01/10/2018,House Ads,control,TRUE,Spanish,Spanish,30-36 years,01/10/2018,,House Ads,TRUE
a100000308,01/10/2018,House Ads,control,TRUE,English,English,36-45 years,01/10/2018,,House Ads,TRUE
a100000309,01/10/2018,House Ads,control,TRUE,English,English,45-55 years,01/10/2018,,House Ads,TRUE
a100000310,01/10/2018,House Ads,control,TRUE,English,English,55+ years,01/10/2018,,House Ads,TRUE
a100000311,01/10/2018,House Ads,control,TRUE,English,English,0-18 years,01/10/2018,,House Ads,TRUE
a100000312,01/10/2018,House Ads,control,TRUE,English,English,19-24 years,01/10/2018,,House Ads,TRUE
a100000313,01/10/2018,House Ads,control,TRUE,English,English,24-30 years,01/10/2018,,House Ads,TRUE
a100000314,01/10/2018,House Ads,control,TRUE,Spanish,Spanish,30-36 years,01/10/2018,,House Ads,TRUE
a100000315,01/10/2018,House Ads,personalization,TRUE,English,English,36-45 years,01/10/2018,,House Ads,TRUE
a100000316,01/10/2018,House Ads,personalization,TRUE,English,English,45-55 years,01/10/2018,,House Ads,TRUE
a100000317,01/10/2018,House Ads,personalization,TRUE,Spanish,Spanish,55+ years,01/10/2018,4/19/18,House Ads,FALSE
a100000318,01/11/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/11/2018,03/04/2018,House Ads,FALSE
a100000319,01/12/2018,House Ads,personalization,TRUE,English,Spanish,19-24 years,01/12/2018,1/26/18,House Ads,FALSE
a100000320,1/13/18,House Ads,personalization,TRUE,English,English,24-30 years,1/13/18,04/05/2018,House Ads,FALSE
a100000321,1/14/18,House Ads,personalization,TRUE,English,English,30-36 years,1/14/18,1/26/18,House Ads,FALSE
a100000322,1/15/18,House Ads,personalization,TRUE,English,English,36-45 years,1/15/18,3/15/18,House Ads,FALSE
a100000323,1/16/18,House Ads,personalization,TRUE,English,English,45-55 years,1/16/18,4/22/18,House Ads,FALSE
a100000324,1/17/18,House Ads,personalization,TRUE,English,English,55+ years,1/17/18,02/11/2018,House Ads,FALSE
a100000325,1/18/18,House Ads,personalization,TRUE,English,English,0-18 years,1/18/18,1/23/18,House Ads,FALSE
a100000326,1/19/18,House Ads,personalization,TRUE,English,English,19-24 years,1/19/18,,House Ads,TRUE
a100000327,1/20/18,House Ads,personalization,TRUE,English,English,24-30 years,1/20/18,,House Ads,TRUE
a100000328,1/21/18,House Ads,personalization,TRUE,English,English,0-18 years,1/21/18,,House Ads,TRUE
a100000328,01/10/2018,House Ads,personalization,FALSE,English,English,0-18 years,1/21/18,,House Ads,TRUE
a100000329,1/22/18,House Ads,personalization,TRUE,English,English,19-24 years,1/22/18,,House Ads,TRUE
a100000329,01/10/2018,House Ads,personalization,FALSE,English,English,19-24 years,1/22/18,,House Ads,TRUE
a100000330,1/23/18,House Ads,personalization,TRUE,English,English,24-30 years,1/23/18,,House Ads,TRUE
a100000330,01/10/2018,Push,personalization,FALSE,English,English,24-30 years,1/23/18,,House Ads,TRUE
a100000331,1/24/18,House Ads,personalization,TRUE,English,English,0-18 years,1/24/18,,House Ads,TRUE
a100000331,01/10/2018,House Ads,personalization,FALSE,English,English,0-18 years,1/24/18,,House Ads,TRUE
a100000332,1/25/18,House Ads,personalization,TRUE,English,English,19-24 years,1/25/18,,House Ads,TRUE
a100000332,01/10/2018,House Ads,personalization,FALSE,English,English,19-24 years,1/25/18,,House Ads,TRUE
a100000333,1/26/18,House Ads,personalization,TRUE,English,English,24-30 years,1/26/18,,House Ads,TRUE
a100000333,01/10/2018,House Ads,personalization,FALSE,English,English,24-30 years,1/26/18,,House Ads,TRUE
a100000334,1/27/18,House Ads,personalization,TRUE,English,English,0-18 years,1/27/18,,House Ads,TRUE
a100000334,01/10/2018,Push,personalization,FALSE,English,English,0-18 years,1/27/18,,House Ads,TRUE
a100000335,1/28/18,House Ads,personalization,TRUE,English,Spanish,19-24 years,1/28/18,,House Ads,TRUE
a100000335,01/10/2018,Facebook,personalization,FALSE,Spanish,Spanish,19-24 years,1/28/18,,House Ads,TRUE
a100000336,1/29/18,House Ads,personalization,TRUE,English,English,24-30 years,1/29/18,,House Ads,TRUE
a100000336,01/10/2018,Instagram,personalization,FALSE,English,English,24-30 years,1/29/18,,House Ads,TRUE
a100000337,1/30/18,House Ads,personalization,TRUE,English,English,0-18 years,1/30/18,02/09/2018,House Ads,FALSE
a100000337,01/10/2018,Instagram,personalization,FALSE,English,English,0-18 years,1/30/18,02/09/2018,House Ads,FALSE
a100000338,1/31/18,House Ads,personalization,TRUE,English,English,19-24 years,1/31/18,4/29/18,House Ads,FALSE
a100000338,01/10/2018,Facebook,personalization,FALSE,English,English,19-24 years,1/31/18,4/29/18,House Ads,FALSE
a100000339,01/11/2018,House Ads,personalization,TRUE,English,English,24-30 years,01/11/2018,03/10/2018,House Ads,FALSE
a100000339,01/10/2018,House Ads,personalization,FALSE,English,English,24-30 years,01/11/2018,03/10/2018,House Ads,FALSE
a100000340,01/12/2018,House Ads,personalization,TRUE,English,English,0-18 years,01/12/2018,03/08/2018,House Ads,FALSE
a100000340,01/10/2018,House Ads,personalization,FALSE,English,English,0-18 years,01/12/2018,03/08/2018,House Ads,FALSE
a100000341,1/13/18,House Ads,personalization,TRUE,English,English,19-24 years,1/13/18,4/17/18,House Ads,FALSE
a100000341,01/10/2018,House Ads,personalization,FALSE,English,English,19-24 years,1/13/18,4/17/18,House Ads,FALSE
a100000342,1/14/18,House Ads,personalization,TRUE,English,English,24-30 years,1/14/18,03/01/2018,House Ads,FALSE
a100000342,01/10/2018,House Ads,personalization,FALSE,English,English,24-30 years,1/14/18,03/01/2018,House Ads,FALSE
a100000343,1/15/18,House Ads,personalization,TRUE,English,English,30-36 years,1/15/18,03/09/2018,House Ads,FALSE
a100000343,01/10/2018,Push,personalization,FALSE,English,English,30-36 years,1/15/18,03/09/2018,House Ads,FALSE
